index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A)
102,CsCaF3,1.67,1,1.33,1,2,-1,0.79,1,3.98,4.523
103,CsCdCl3,1.67,0.95,1.81,1,2,-1,0.79,1.69,3.16,5.21
104,CsCdF3,1.67,0.95,1.33,1,2,-1,0.79,1.69,3.98,4.47
105,CsEuCl3,1.67,1.17,1.81,1,2,-1,0.79,1.2,3.16,5.627
106,CsEuF 3,1.67,1.17,1.33,1,2,-1,0.79,1.2,3.98,4.78
107,CsHgBr3,1.67,1.02,1.96,1,2,-1,0.79,2,2.96,5.77
108,CsHgCl3,1.67,1.02,1.81,1,2,-1,0.79,2,3.16,5.41
109,CsHgF3,1.67,1.02,1.33,1,2,-1,0.79,2,3.98,4.57
110,CsPbBr 3,1.67,1.19,1.96,1,2,-1,0.79,2.2,2.96,5.874
111,CsPbCl 3,1.67,1.19,1.81,1,2,-1,0.79,2.2,3.16,5.605
112,CsPbF3,1.67,1.19,1.33,1,2,-1,0.79,2.2,3.98,4.8
113,CsPbI 3,1.67,1.19,2.2,1,2,-1,0.79,2.2,2.66,6.33
114,CsSnBr 3,1.67,1.1,1.96,1,2,-1,0.79,1.96,2.96,5.795
115,CsSnI 3,1.67,1.1,2.2,1,2,-1,0.79,1.96,2.66,6.219
116,CsSrF3,1.67,1.18,1.33,1,2,-1,0.79,0.95,3.98,4.75
117,CsTmCl3,1.67,1.01,1.81,1,2,-1,0.79,1.25,3.16,5.476
118,CsYbCl3,1.67,1.02,1.81,1,2,-1,0.79,1.1,3.16,5.437
119,CsYbF3,1.67,1.02,1.33,1,2,-1,0.79,1.1,3.98,4.61
120,KCaF3,1.38,1,1.33,1,2,-1,0.82,1,3.98,4.38
121,KCdF3,1.38,0.95,1.33,1,2,-1,0.82,1.69,3.98,4.293
122,KCoF3,1.38,0.74,1.33,1,2,-1,0.82,1.88,3.98,4.071
123,KFeF3,1.38,0.78,1.33,1,2,-1,0.82,1.83,3.98,4.121
124,KMgF 3,1.38,0.72,1.33,1,2,-1,0.82,1.31,3.98,3.989
125,KMnF3,1.38,0.83,1.33,1,2,-1,0.82,1.55,3.98,4.189
126,KNiF 3,1.38,0.69,1.33,1,2,-1,0.82,1.91,3.98,4.013
127,KVF 3,1.38,0.79,1.33,1,2,-1,0.82,1.63,3.98,4.1
128,KZnF3,1.38,0.74,1.33,1,2,-1,0.82,1.65,3.98,4.056
129,LiBaF 3,1.35,0.68,1.33,1,2,-1,0.98,0.89,3.98,3.992
130,NaCoF3,1.02,0.55,1.33,1,2,-1,0.93,1.88,3.98,3.9
131,NaMgF3,1.02,0.72,1.33,1,2,-1,0.93,1.31,3.98,3.84
132,NaVF3,1.02,0.79,1.33,1,2,-1,0.93,1.63,3.98,3.94
133,NaZnF3,1.02,0.74,1.33,1,2,-1,0.93,1.65,3.98,3.88
134,RbCaF3,1.52,1,1.33,1,2,-1,0.82,1,3.98,4.452
135,RbCdF3,1.52,0.95,1.33,1,2,-1,0.82,1.69,3.98,4.398
136,RbCoF3,1.52,0.74,1.33,1,2,-1,0.82,1.88,3.98,4.141
137,RbFeF 3,1.52,0.78,1.33,1,2,-1,0.82,1.83,3.98,4.174
138,RbHgF3,1.52,1.02,1.33,1,2,-1,0.82,2,3.98,4.47
139,RbMnF 3,1.52,0.83,1.33,1,2,-1,0.82,1.55,3.98,4.24
140,RbPbF 3,1.52,1.19,1.33,1,2,-1,0.82,2.33,3.98,4.79
141,RbPdF3,1.52,0.86,1.33,1,2,-1,0.82,2.2,3.98,4.298
142,RbVF3,1.52,0.79,1.33,1,2,-1,0.82,1.63,3.98,4.17
143,RbYbF3,1.52,1.02,1.33,1,2,-1,0.82,1.1,3.98,4.53
144,RbZnF3,1.52,0.74,1.33,1,2,-1,0.82,1.65,3.98,4.122
145,TlCdF3,1.5,0.95,1.33,1,2,-1,1.62,1.69,3.98,4.4
146,TlCoF3,1.5,0.74,1.33,1,2,-1,1.62,1.88,3.98,4.138
147,TlFeF3,1.5,0.78,1.33,1,2,-1,1.62,1.83,3.98,4.188
148,TlMnCl 3,1.5,0.83,1.81,1,2,-1,1.62,1.55,3.16,5.02
149,TlMnF3,1.5,0.83,1.33,1,2,-1,1.62,1.55,3.98,4.26
150,TlPdF 3,1.5,0.86,1.33,1,2,-1,1.62,2.2,3.98,4.301
