index,compounds,rA (A),rB(A),rX (A),vA,vB,vX,eA,eB,eX,a (A),b (A),c (A),a (A) [5],b (A) [5],c (A) [5]
,EuRhO3,1.23,0.665,1.4,3,3,-2,1.2,2.28,3.44,5.298,5.761,7.68,5.366,5.388,7.606
,EuScO3,1.23,0.745,1.4,3,3,-2,1.2,1.36,3.44,5.51,5.76,7.94,5.498,5.521,7.794
,EuInO3,1.23,0.8,1.4,3,3,-2,1.2,1.78,3.44,5.567,5.835,8.078,5.589,5.612,7.923
,GdAlO3,1.22,0.535,1.4,3,3,-2,1.2,1.61,3.44,5.247,5.304,7.447,5.135,5.155,7.278
,GdCrO3,1.22,0.615,1.4,3,3,-2,1.2,1.66,3.44,5.312,5.525,7.606,5.267,5.288,7.466
,GdGaO3,1.22,0.62,1.4,3,3,-2,1.2,1.81,3.44,5.322,5.537,7.606,5.275,5.296,7.477
,GdFeO3,1.22,0.645,1.4,3,3,-2,1.2,1.83,3.44,5.346,5.616,7.668,5.317,5.338,7.536
,GdVO3,1.22,0.64,1.4,3,3,-2,1.2,1.63,3.44,5.343,5.614,7.637,5.308,5.33,7.524
,GdMnO3,1.22,0.645,1.4,3,3,-2,1.2,1.55,3.44,5.313,5.853,7.432,5.317,5.338,7.536
,GdRhO3,1.22,0.665,1.4,3,3,-2,1.2,2.28,3.44,5.277,5.761,7.658,5.35,5.371,7.583
,GdTiO3,1.22,0.67,1.4,3,3,-2,1.2,1.54,3.44,5.407,5.667,7.692,5.358,5.379,7.595
,GdCoO3,1.22,0.545,1.4,3,3,-2,1.2,1.88,3.44,5.228,5.404,7.436,5.151,5.172,7.302
,GdScO3,1.22,0.745,1.4,3,3,-2,1.2,1.36,3.44,5.487,5.756,7.925,5.482,5.504,7.77
,GdInO3,1.22,0.8,1.4,3,3,-2,1.2,1.78,3.44,5.548,5.842,8.071,5.573,5.595,7.899
,TbAlO3,1.2,0.535,1.4,3,3,-2,1.1,1.61,3.44,5.22,5.28,7.41,5.102,5.122,7.231
,TbCrO3,1.2,0.615,1.4,3,3,-2,1.1,1.66,3.44,5.291,5.518,7.576,5.234,5.255,7.419
,TbGaO3,1.2,0.62,1.4,3,3,-2,1.1,1.81,3.44,5.307,5.531,7.578,5.242,5.263,7.43
,TbFeO3,1.2,0.645,1.4,3,3,-2,1.1,1.83,3.44,5.326,5.602,7.635,5.283,5.305,7.489
,TbMnO3,1.2,0.645,1.4,3,3,-2,1.1,1.55,3.44,5.297,5.831,7.403,5.283,5.305,7.489
,TbRhO3,1.2,0.665,1.4,3,3,-2,1.1,2.28,3.44,5.254,5.749,7.623,5.317,5.338,7.536
,TbTiO3,1.2,0.67,1.4,3,3,-2,1.1,1.54,3.44,5.388,5.648,7.676,5.325,5.346,7.548
,DyAlO3,1.19,0.535,1.4,3,3,-2,1.22,1.61,3.44,5.21,5.31,7.38,5.085,5.106,7.208
,DyCrO3,1.19,0.615,1.4,3,3,-2,1.22,1.66,3.44,5.263,5.2,7.552,5.217,5.238,7.395
,DyGaO3,1.19,0.62,1.4,3,3,-2,1.22,1.81,3.44,5.282,5.534,7.556,5.226,5.247,7.407
,DyFeO3,1.19,0.645,1.4,3,3,-2,1.22,1.83,3.44,5.302,5.598,7.623,5.267,5.288,7.466
,DyVO3,1.19,0.64,1.4,3,3,-2,1.22,1.63,3.44,5.302,5.602,7.601,5.259,5.28,7.454
