index,compounds,rA (A),rB (A),rX (A),vA,vB,vX,eA,eB,eX,a (A),a [Jiang] (A),reference
106,CsEuF 3,1.67,1.17,1.33,1,2,-1,0.79,1.2,3.98,4.78,4.767,[1]
107,CsHgBr3,1.67,1.02,1.96,1,2,-1,0.79,2,2.96,5.77,5.69,[1]
108,CsHgCl3,1.67,1.02,1.81,1,2,-1,0.79,2,3.16,5.41,5.42,[1]
109,CsHgF3,1.67,1.02,1.33,1,2,-1,0.79,2,3.98,4.57,4.565,[1]
110,CsPbBr 3,1.67,1.19,1.96,1,2,-1,0.79,2.2,2.96,5.874,5.941,[1]
111,CsPbCl 3,1.67,1.19,1.81,1,2,-1,0.79,2.2,3.16,5.605,5.667,[1]
112,CsPbF3,1.67,1.19,1.33,1,2,-1,0.79,2.2,3.98,4.8,4.795,[1]
113,CsPbI 3,1.67,1.19,2.2,1,2,-1,0.79,2.2,2.66,6.33,–,[1]
114,CsSnBr 3,1.67,1.1,1.96,1,2,-1,0.79,1.96,2.96,5.795,5.807,[1]
115,CsSnI 3,1.67,1.1,2.2,1,2,-1,0.79,1.96,2.66,6.219,6.245,[1]
116,CsSrF3,1.67,1.18,1.33,1,2,-1,0.79,0.95,3.98,4.75,4.781,[1]
117,CsTmCl3,1.67,1.01,1.81,1,2,-1,0.79,1.25,3.16,5.476,5.406,[1]
118,CsYbCl3,1.67,1.02,1.81,1,2,-1,0.79,1.1,3.16,5.437,5.42,[1]
119,CsYbF3,1.67,1.02,1.33,1,2,-1,0.79,1.1,3.98,4.61,4.565,[1]
120,KCaF3,1.38,1,1.33,1,2,-1,0.82,1,3.98,4.38,,[3]
121,KCdF3,1.38,0.95,1.33,1,2,-1,0.82,1.69,3.98,4.293,4.341,[1]
122,KCoF3,1.38,0.74,1.33,1,2,-1,0.82,1.88,3.98,4.071,4.072,[1]
123,KFeF3,1.38,0.78,1.33,1,2,-1,0.82,1.83,3.98,4.121,4.121,[1]
124,KMgF 3,1.38,0.72,1.33,1,2,-1,0.82,1.31,3.98,3.989,4.048,[1]
125,KMnF3,1.38,0.83,1.33,1,2,-1,0.82,1.55,3.98,4.189,4.184,[1]
126,KNiF 3,1.38,0.69,1.33,1,2,-1,0.82,1.91,3.98,4.013,4.012,[1]
127,KVF 3,1.38,0.79,1.33,1,2,-1,0.82,1.63,3.98,4.1,4.134,[1]
128,KZnF3,1.38,0.74,1.33,1,2,-1,0.82,1.65,3.98,4.056,4.072,[1]
