Solids,rA,rB,rX,vA,vB,vX,EA,EB,EX,a,b,c
TbAlO3,0.923,0.535,1.35,3,3,-2,1.22,1.61,3.44,5.22,5.28,7.41
TbCrO3,0.923,0.615,1.35,3,3,-2,1.22,1.66,3.44,5.291,5.518,7.576
TbGaO3,0.923,0.62,1.35,3,3,-2,1.22,1.81,3.44,5.307,5.531,7.578
TbFeO3,0.923,0.645,1.35,3,3,-2,1.22,1.83,3.44,5.326,5.602,7.635
TbRhO3,0.923,0.665,1.35,3,3,-2,1.22,2.28,3.44,5.254,5.749,7.623
TbTiO3,0.923,0.67,1.35,3,3,-2,1.22,1.54,3.44,5.388,5.648,7.676
DyAlO3,0.912,0.535,1.35,3,3,-2,1.23,1.61,3.44,5.21,5.31,7.38
DyCrO3,0.912,0.615,1.35,3,3,-2,1.23,1.66,3.44,5.263,5.52,7.552
DyGaO3,0.912,0.62,1.35,3,3,-2,1.23,1.81,3.44,5.282,5.534,7.556
DyFeO3,0.912,0.645,1.35,3,3,-2,1.23,1.83,3.44,5.302,5.598,7.623
DyVO3,0.912,0.64,1.35,3,3,-2,1.23,1.63,3.44,5.302,5.602,7.601
DyMnO3,0.912,0.645,1.35,3,3,-2,1.23,1.55,3.44,5.275,5.828,7.375
DyRhO3,0.912,0.665,1.35,3,3,-2,1.23,2.28,3.44,5.245,5.731,7.6
DyTiO3,0.912,0.67,1.35,3,3,-2,1.23,1.54,3.44,5.361,5.659,7.647
DyScO3,0.912,0.745,1.35,3,3,-2,1.23,1.36,3.44,5.43,5.71,7.89
DyInO3,0.912,0.8,1.35,3,3,-2,1.23,1.78,3.44,5.519,5.751,8.041
HoAlO3,0.901,0.535,1.35,3,3,-2,1.24,1.61,3.44,5.18,5.33,7.36
HoCrO3,0.901,0.615,1.35,3,3,-2,1.24,1.66,3.44,5.243,5.519,7.538
HoGaO3,0.901,0.62,1.35,3,3,-2,1.24,1.81,3.44,5.251,5.531,7.536
HoFeO3,0.901,0.645,1.35,3,3,-2,1.24,1.83,3.44,5.278,5.591,7.602
HoMnO3,0.901,0.645,1.35,3,3,-2,1.24,1.55,3.44,5.255,5.831,7.354
HoRhO3,0.901,0.665,1.35,3,3,-2,1.24,2.28,3.44,5.23,5.726,7.582
HoTiO3,0.901,0.67,1.35,3,3,-2,1.24,1.54,3.44,5.339,5.665,7.626
HoScO3,0.901,0.745,1.35,3,3,-2,1.24,1.36,3.44,5.42,5.71,7.87
ErAlO3,0.89,0.535,1.35,3,3,-2,1.24,1.61,3.44,5.16,5.32,7.33
ErCrO3,0.89,0.615,1.35,3,3,-2,1.24,1.66,3.44,5.223,5.516,7.519
ErGaO3,0.89,0.62,1.35,3,3,-2,1.24,1.81,3.44,5.239,5.527,7.522
ErFeO3,0.89,0.645,1.35,3,3,-2,1.24,1.83,3.44,5.263,5.582,7.591
ErVO3,0.89,0.64,1.35,3,3,-2,1.24,1.63,3.44,5.262,5.604,7.578
ErMnO3,0.89,0.645,1.35,3,3,-2,1.24,1.55,3.44,5.24,5.82,7.335
ErRhO3,0.89,0.665,1.35,3,3,-2,1.24,2.28,3.44,5.216,5.712,7.561
ErTiO3,0.89,0.67,1.35,3,3,-2,1.24,1.54,3.44,5.318,5.657,7.613
TmAlO3,0.88,0.535,1.35,3,3,-2,1.25,1.61,3.44,5.15,5.33,7.29
TmCrO3,0.88,0.615,1.35,3,3,-2,1.25,1.66,3.44,5.209,5.508,7.5
TmGaO3,0.88,0.62,1.35,3,3,-2,1.25,1.81,3.44,5.224,5.515,7.505
TmFeO3,0.88,0.645,1.35,3,3,-2,1.25,1.83,3.44,5.251,5.576,7.584
TmRhO3,0.88,0.665,1.35,3,3,-2,1.25,2.28,3.44,5.203,5.697,7.543
TmTiO3,0.88,0.67,1.35,3,3,-2,1.25,1.54,3.44,5.306,5.647,7.607
YbAlO3,0.868,0.535,1.35,3,3,-2,1.1,1.61,3.44,5.12,5.33,7.31
YbCrO3,0.868,0.615,1.35,3,3,-2,1.1,1.66,3.44,5.195,5.51,7.49
YbGaO3,0.868,0.62,1.35,3,3,-2,1.1,1.81,3.44,5.208,5.51,7.49
YbFeO3,0.868,0.645,1.35,3,3,-2,1.1,1.83,3.44,5.233,5.557,7.57
YbMnO3,0.868,0.645,1.35,3,3,-2,1.1,1.55,3.44,5.22,5.8,7.3
YbTiO3,0.868,0.67,1.35,3,3,-2,1.1,1.54,3.44,5.293,5.633,7.598
LuCrO3,0.861,0.615,1.35,3,3,-2,1.27,1.66,3.44,5.176,5.497,7.475
LuGaO3,0.861,0.62,1.35,3,3,-2,1.27,1.81,3.44,5.188,5.505,7.484
LuFeO3,0.861,0.645,1.35,3,3,-2,1.27,1.83,3.44,5.213,5.547,7.565
LuMnO3,0.861,0.645,1.35,3,3,-2,1.27,1.55,3.44,5.205,5.79,7.31
LuRhO3,0.861,0.665,1.35,3,3,-2,1.27,2.28,3.44,5.186,5.67,7.512
LuTiO3,0.861,0.67,1.35,3,3,-2,1.27,1.54,3.44,5.274,5.633,7.58
YalO3,0.9,0.535,1.35,3,3,-2,1.22,1.61,3.44,5.179,5.329,7.37
YcrO3,0.9,0.615,1.35,3,3,-2,1.22,1.66,3.44,5.241,5.521,7.532
YgaO3,0.9,0.62,1.35,3,3,-2,1.22,1.81,3.44,5.257,5.536,7.533
YfeO3,0.9,0.645,1.35,3,3,-2,1.22,1.83,3.44,5.283,5.592,7.603
YVO3,0.9,0.64,1.35,3,3,-2,1.22,1.63,3.44,5.284,5.605,7.587
YmnO3,0.9,0.645,1.35,3,3,-2,1.22,1.55,3.44,5.26,5.83,7.36
YtiO3,0.9,0.67,1.35,3,3,-2,1.22,1.54,3.44,5.34,5.665,7.624
YscO3,0.9,0.745,1.35,3,3,-2,1.22,1.36,3.44,5.431,5.712,7.894
YinO3,0.9,0.8,1.35,3,3,-2,1.22,1.78,3.44,5.5,5.787,8.053
